"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","facebook_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","in_office","dw_nominate","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","youtube_account","leadership_role","suffix","cook_pvi","vacate","successor","non_voting"
"A000370","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000370.json","Alma","Adams","1946-05-27","F","D","RepAdams","CongresswomanAdams",412607,76386,5935,21545,"N00035451","/m/02b45d","H4NC12100","https://adams.house.gov","https://adams.house.gov/rss.xml",TRUE,-0.466,10,2022,493,3,0,"2022-02-28 07:30:34 -0500","ocd-division/country:us/state:nc/cd:12","2436 Rayburn House Office Building","202-225-1510","NC","12",FALSE,3712,0.61,98.98,0.82,NA,NA,NA,NA,NA,0,0,0
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","Aderholt","1965-07-22","M","R","Robert_Aderholt","RobertAderholt",400004,45516,441,29701,"N00003028","/m/024p03","H6AL04098","https://aderholt.house.gov","https://aderholt.house.gov/rss.xml",TRUE,0.376,26,2022,493,8,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:al/cd:4","266 Cannon House Office Building","202-225-4876","AL","4",FALSE,104,1.62,96.87,2.92,"B.","RobertAderholt",NA,NA,NA,0,0,0
"A000371","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000371.json","Pete","Aguilar","1979-06-19","M","D","reppeteaguilar","reppeteaguilar",412615,79994,70114,21506,"N00033997","/m/0jwv0xf","H2CA31125","https://aguilar.house.gov",NA,TRUE,-0.295,8,2022,493,1,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:ca/cd:31","109 Cannon House Office Building","202-225-3201","CA","31",FALSE,631,0.2,98.78,1.02,NA,NA,"House Democratic Caucus Vice Chair",NA,NA,0,0,0
"A000372","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000372.json","Rick","Allen","1951-11-07","M","R","reprickallen","CongressmanRickAllen",412625,62545,136062,21516,"N00033720","/m/0127y9dk","H2GA12121","https://allen.house.gov",NA,TRUE,0.694,8,2022,493,9,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:ga/cd:12","570 Cannon House Office Building","202-225-2823","GA","12",FALSE,1312,1.83,93.74,6.05,NA,NA,NA,NA,NA,0,0,0
"A000376","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000376.json","Colin","Allred","1983-04-15","M","D","RepColinAllred",NA,412828,NA,177357,NA,"N00040989","/m/03d066b","H8TX32098","https://allred.house.gov",NA,TRUE,NA,4,2022,493,0,0,"2022-02-28 07:30:32 -0500","ocd-division/country:us/state:tx/cd:32","114 Cannon House Office Building","202-225-2231","TX","32",FALSE,4832,0,97.76,2.04,NA,NA,NA,NA,NA,0,0,0
"A000369","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000369.json","Mark","Amodei","1958-06-12","M","R","MarkAmodeiNV2","MarkAmodeiNV2",412500,62817,12537,21196,"N00031177","/m/03bzdkn","H2NV02395","https://amodei.house.gov",NA,TRUE,0.378,12,2022,493,7,0,"2022-02-28 07:30:30 -0500","ocd-division/country:us/state:nv/cd:2","104 Cannon House Office Building","202-225-6155","NV","2",FALSE,3202,1.42,95.22,4.57,NA,"markamodeinv2",NA,NA,NA,0,0,0
"A000377","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000377.json","Kelly","Armstrong","1976-10-08","M","R","RepArmstrongND",NA,412794,NA,139338,NA,"N00042868","/g/11hcszksh3","H8ND00096","https://armstrong.house.gov",NA,TRUE,NA,4,2022,493,29,1,"2022-02-28 07:30:30 -0500","ocd-division/country:us/state:nd/cd:1","1740 Longworth House Office Building","202-225-2611","ND","At-Large",TRUE,3800,5.88,95.63,4.15,NA,NA,NA,NA,NA,0,0,0
"A000375","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000375.json","Jodey","Arrington","1972-03-09","M","R","RepArrington","JodeyArrington",412726,1016482,155685,21700,"N00038285","/m/0g9_f_1","H6TX19099","https://arrington.house.gov",NA,TRUE,0.649,6,2022,493,27,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:tx/cd:19","1107 Longworth House Office Building","202-225-4005","TX","19",FALSE,4819,5.48,90,9.78,NA,NA,NA,NA,NA,0,0,0
"A000148","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000148.json","Jake","Auchincloss","1988-01-29","M","D","RepAuchincloss",NA,456825,NA,NA,NA,NA,"/g/11f0xw2_p4","H0MA04192","https://auchincloss.house.gov/",NA,TRUE,NA,2,2022,493,3,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:ma/cd:4","1524 Longworth House Office Building","202-225-5931","MA","4",FALSE,2504,0.61,98.77,1.02,NA,NA,NA,NA,NA,0,0,0
"A000378","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000378.json","Cynthia","Axne","1965-04-20","F","D","RepCindyAxne",NA,412772,NA,179226,NA,"N00041104","/g/11fgktcgcb","H8IA03124","https://axne.house.gov",NA,TRUE,NA,4,2022,493,1,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:ia/cd:3","1034 Longworth House Office Building","202-225-5476","IA","3",FALSE,1903,0.2,96.53,3.27,NA,NA,NA,NA,NA,0,0,0
